type,sample_id,wavelength,absorbance
TDNA,TDNA-H2O,220,0.193
TDNA,TDNA-H2O,230,0.184
TDNA,TDNA-H2O,240,0.107
TDNA,TDNA-H2O,250,0.083
TDNA,TDNA-H2O,260,0.063
TDNA,TDNA-H2O,270,0.063
TDNA,TDNA-H2O,280,0.079
TDNA,TDNA-H2O,290,0.066
TDNA,TDNA-H2O,300,0.06
TDNA,TDNA-H2O,310,0.028
TDNA,TDNA,220,0.69
TDNA,TDNA,230,0.419
TDNA,TDNA,240,0.443
TDNA,TDNA,250,0.617
TDNA,TDNA,260,0.718
TDNA,TDNA,270,0.587
TDNA,TDNA,280,0.383
TDNA,TDNA,290,0.169
TDNA,TDNA,300,0.035
TDNA,TDNA,310,0.001
TDNA,TDNA+H2O,220,0.998
TDNA,TDNA+H2O,230,0.367
TDNA,TDNA+H2O,240,0.351
TDNA,TDNA+H2O,250,0.541
TDNA,TDNA+H2O,260,0.706
TDNA,TDNA+H2O,270,0.677
TDNA,TDNA+H2O,280,0.366
TDNA,TDNA+H2O,290,0.095
TDNA,TDNA+H2O,300,0.007
TDNA,TDNA+H2O,310,0.01
TDNA,TDNA+Phenol,220,4.13
TDNA,TDNA+Phenol,230,4.402
TDNA,TDNA+Phenol,240,59.7
TDNA,TDNA+Phenol,250,26.05
TDNA,TDNA+Phenol,260,3.79
TDNA,TDNA+Phenol,270,3.61
TDNA,TDNA+Phenol,280,16.13
TDNA,TDNA+Phenol,290,24.65
TDNA,TDNA+Phenol,300,7.03
TDNA,TDNA+Phenol,310,0.82
TDNA,TDNA+EDTA,220,1.23
TDNA,TDNA+EDTA,230,7.78
TDNA,TDNA+EDTA,240,14.22
TDNA,TDNA+EDTA,250,8.48
TDNA,TDNA+EDTA,260,1.94
TDNA,TDNA+EDTA,270,0.699
TDNA,TDNA+EDTA,280,0.308
TDNA,TDNA+EDTA,290,0.103
TDNA,TDNA+EDTA,300,0.005
TDNA,TDNA+EDTA,310,0.01
TDNA,TDNA+70%,220,0.754
TDNA,TDNA+70%,230,0.448
TDNA,TDNA+70%,240,0.446
TDNA,TDNA+70%,250,0.603
TDNA,TDNA+70%,260,0.692
TDNA,TDNA+70%,270,0.578
TDNA,TDNA+70%,280,0.353
TDNA,TDNA+70%,290,0.142
TDNA,TDNA+70%,300,0.02
TDNA,TDNA+70%,310,0.002
TRNA,TRNA-H2O,220,-1.27
TRNA,TRNA-H2O,230,-0.29
TRNA,TRNA-H2O,240,-0.137
TRNA,TRNA-H2O,250,-0.153
TRNA,TRNA-H2O,260,-0.33
TRNA,TRNA-H2O,270,-0.5
TRNA,TRNA-H2O,280,-0.22
TRNA,TRNA-H2O,290,-0.004
TRNA,TRNA-H2O,300,0.008
TRNA,TRNA-H2O,310,0.007
TRNA,TRNA,220,18.42
TRNA,TRNA,230,13.4
TRNA,TRNA,240,12.25
TRNA,TRNA,250,16.29
TRNA,TRNA,260,18.41
TRNA,TRNA,270,14.31
TRNA,TRNA,280,8.79
TRNA,TRNA,290,3.99
TRNA,TRNA,300,1.06
TRNA,TRNA,310,0.217
TRNA,TRNA+H2O,220,10.59
TRNA,TRNA+H2O,230,9.39
TRNA,TRNA+H2O,240,9.13
TRNA,TRNA+H2O,250,12.18
TRNA,TRNA+H2O,260,13.21
TRNA,TRNA+H2O,270,9.76
TRNA,TRNA+H2O,280,6.49
TRNA,TRNA+H2O,290,3.32
TRNA,TRNA+H2O,300,0.94
TRNA,TRNA+H2O,310,0.33
TRNA,TRNA+Phenol,220,-10.9
TRNA,TRNA+Phenol,230,3.32
TRNA,TRNA+Phenol,240,64.07
TRNA,TRNA+Phenol,250,23.05
TRNA,TRNA+Phenol,260,-0.73
TRNA,TRNA+Phenol,270,-2.44
TRNA,TRNA+Phenol,280,14.57
TRNA,TRNA+Phenol,290,24.03
TRNA,TRNA+Phenol,300,6.78
TRNA,TRNA+Phenol,310,1.06
TRNA,TRNA+EDTA,220,18.98
TRNA,TRNA+EDTA,230,60.91
TRNA,TRNA+EDTA,240,34.96
TRNA,TRNA+EDTA,250,21.51
TRNA,TRNA+EDTA,260,14.57
TRNA,TRNA+EDTA,270,10.52
TRNA,TRNA+EDTA,280,6.42
TRNA,TRNA+EDTA,290,2.91
TRNA,TRNA+EDTA,300,0.79
TRNA,TRNA+EDTA,310,0.21
TRNA,TRNA+70%,220,13.59
TRNA,TRNA+70%,230,9.52
TRNA,TRNA+70%,240,9.08
TRNA,TRNA+70%,250,12.31
TRNA,TRNA+70%,260,14
TRNA,TRNA+70%,270,11.23
TRNA,TRNA+70%,280,6.87
TRNA,TRNA+70%,290,3.19
TRNA,TRNA+70%,300,0.88
TRNA,TRNA+70%,310,0.25
Protein,Protein-H2O,220,-0.66
Protein,Protein-H2O,230,-0.12
Protein,Protein-H2O,240,-0.05
Protein,Protein-H2O,250,-0.08
Protein,Protein-H2O,260,-0.17
Protein,Protein-H2O,270,-0.25
Protein,Protein-H2O,280,-0.12
Protein,Protein-H2O,290,-0.002
Protein,Protein-H2O,300,0.01
Protein,Protein-H2O,310,-0.005
Protein,Protein,220,16.69
Protein,Protein,230,55.53
Protein,Protein,240,30.71
Protein,Protein,250,27.81
Protein,Protein,260,29.08
Protein,Protein,270,27.79
Protein,Protein,280,22.51
Protein,Protein,290,15.13
Protein,Protein,300,8.57
Protein,Protein,310,5.75
Protein,Protein+H2O,220,21.07
Protein,Protein+H2O,230,43.98
Protein,Protein+H2O,240,22.98
Protein,Protein+H2O,250,20.55
Protein,Protein+H2O,260,21.52
Protein,Protein+H2O,270,20.49
Protein,Protein+H2O,280,16.48
Protein,Protein+H2O,290,10.87
Protein,Protein+H2O,300,6.005
Protein,Protein+H2O,310,4.08
Protein,Protein+Phenol,220,-18.36
Protein,Protein+Phenol,230,-20.29
Protein,Protein+Phenol,240,47.2
Protein,Protein+Phenol,250,10.75
Protein,Protein+Phenol,260,-17.54
Protein,Protein+Phenol,270,-18.76
Protein,Protein+Phenol,280,2.71
Protein,Protein+Phenol,290,20.18
Protein,Protein+Phenol,300,8.31
Protein,Protein+Phenol,310,5.6
Protein,Protein+EDTA,220,9.52
